
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:31:02 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s2_m1_exact_s0_20260711-093102.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9894558
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9894558
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0xca5dbd0b
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+01, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.843882e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 29148.9407    0   33 100755.000 29148.9407  71.1%     -    0s
     0     0 29155.2376    0   31 100755.000 29155.2376  71.1%     -    0s
     0     0 29161.3449    0   34 100755.000 29161.3449  71.1%     -    0s
     0     0 29168.2306    0   31 100755.000 29168.2306  71.1%     -    0s
     0     0 29173.5881    0   30 100755.000 29173.5881  71.0%     -    0s
     0     0 29175.8055    0   32 100755.000 29175.8055  71.0%     -    0s
     0     0 29179.6765    0   33 100755.000 29179.6765  71.0%     -    0s
     0     0 29186.5536    0   33 100755.000 29186.5536  71.0%     -    0s
     0     0 29189.0169    0   31 100755.000 29189.0169  71.0%     -    0s
     0     0 29200.0030    0   31 100755.000 29200.0030  71.0%     -    0s
     0     0 29208.7716    0   33 100755.000 29208.7716  71.0%     -    0s
     0     0 29213.8000    0   32 100755.000 29213.8000  71.0%     -    0s
     0     0 29219.3836    0   33 100755.000 29219.3836  71.0%     -    0s
     0     0 29224.4571    0   35 100755.000 29224.4571  71.0%     -    0s
     0     0 29226.9234    0   35 100755.000 29226.9234  71.0%     -    0s
     0     0 29231.6096    0   30 100755.000 29231.6096  71.0%     -    0s
     0     0 29235.7291    0   32 100755.000 29235.7291  71.0%     -    0s
     0     0 29242.5227    0   31 100755.000 29242.5227  71.0%     -    0s
     0     0 29249.7074    0   31 100755.000 29249.7074  71.0%     -    0s
     0     0 29259.5958    0   31 100755.000 29259.5958  71.0%     -    0s
     0     0 29267.5671    0   35 100755.000 29267.5671  71.0%     -    0s
