datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260714-151805,PSC4-C4-50-10,exact,0,0,0,3600,FEASIBLE,4109608.00,3374651.72,0.17883854,3599.96,3600.55,-1.00,-1.00,-1.00,0,-1.00,4101807.00,1,13.0.2,logs/PSC4-C4-50-10_m0_exact_s0_20260714-151805.gurobi.log
20260714-161805,PSC4-C4-50-5,exact,0,0,0,3600,FEASIBLE,1877617.00,1841470.78,0.01925111,3600.22,3600.55,-1.00,-1.00,-1.00,0,-1.00,1877617.00,1,13.0.2,logs/PSC4-C4-50-5_m0_exact_s0_20260714-161805.gurobi.log
20260714-171806,PSC4-C5-100-10,exact,0,0,0,3600,FEASIBLE,52381243.00,50887331.54,0.02851997,3598.90,3603.44,-1.00,-1.00,-1.00,0,-1.00,52367512.00,1,13.0.2,logs/PSC4-C5-100-10_m0_exact_s0_20260714-171806.gurobi.log
20260714-181810,PSC4-C5-100-5,exact,0,0,0,3600,FEASIBLE,26093878.00,25811167.53,0.01083436,3599.78,3598.70,-1.00,-1.00,-1.00,0,-1.00,26088905.00,1,13.0.2,logs/PSC4-C5-100-5_m0_exact_s0_20260714-181810.gurobi.log
20260714-191811,PSC4-C5-50-10,exact,0,0,0,3600,FEASIBLE,25710759.00,25640416.93,0.00273590,3600.03,3600.55,-1.00,-1.00,-1.00,0,-1.00,25710454.00,1,13.0.2,logs/PSC4-C5-50-10_m0_exact_s0_20260714-191811.gurobi.log
20260714-201811,PSC4-C5-50-5,exact,0,0,0,3600,FEASIBLE,13137160.00,13094914.57,0.00321572,3600.08,3600.37,-1.00,-1.00,-1.00,0,-1.00,13137160.00,1,13.0.2,logs/PSC4-C5-50-5_m0_exact_s0_20260714-201811.gurobi.log
20260714-211812,PSC5-C1-100-10,exact,0,0,0,3600,FEASIBLE,6546927.00,6521704.96,0.00385250,3599.90,3602.57,-1.00,-1.00,-1.00,0,-1.00,6546927.00,1,13.0.2,logs/PSC5-C1-100-10_m0_exact_s0_20260714-211812.gurobi.log
20260714-221815,PSC5-C1-100-5,exact,0,0,0,3600,FEASIBLE,3800903.00,3792869.17,0.00211366,3600.41,3601.87,-1.00,-1.00,-1.00,0,-1.00,3800903.00,1,13.0.2,logs/PSC5-C1-100-5_m0_exact_s0_20260714-221815.gurobi.log
20260714-231817,PSC5-C1-50-10,exact,0,0,0,3600,FEASIBLE,3272952.00,3265491.57,0.00227942,3600.13,3600.82,-1.00,-1.00,-1.00,0,-1.00,3272952.00,1,13.0.2,logs/PSC5-C1-50-10_m0_exact_s0_20260714-231817.gurobi.log
20260715-001818,PSC5-C1-50-5,exact,0,0,0,3600,OPTIMAL,1895151.00,1895151.00,0.00000000,883.11,883.46,-1.00,-1.00,-1.00,0,-1.00,1895151.00,1,13.0.2,logs/PSC5-C1-50-5_m0_exact_s0_20260715-001818.gurobi.log
