instance,nI,nJ,nK,nL,tI,tJ,seed,kstar_target,md5,status,obj,k_used,kstar,nodes,time,agg,timeout,p1,p2i,p2b,p3,rneg,cap
kstar_nI20_nJ20_nK100_nL5_tI6_tJ6_s2.txt,20,20,100,5,6,6,2,12,db5106e146a8d48d5b815d76406cefc1,TIMEOUT,71842,40,12,2657,60.016,0,1,0,0,1310,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI6_tJ6_s3.txt,20,20,100,5,6,6,3,12,0cf4ed9504bd01df2b944689a06cd21b,TIMEOUT,78381,40,12,2683,60.020,0,1,0,0,643,682,0,0
kstar_nI20_nJ20_nK100_nL5_tI6_tJ6_s4.txt,20,20,100,5,6,6,4,12,a38c0a21e027fc08fe6a5162e222f54b,TIMEOUT,73066,40,12,2594,60.001,0,1,0,0,1280,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI6_tJ6_s5.txt,20,20,100,5,6,6,5,12,d8a0537ad4e5084ca8450abc4063eb02,TIMEOUT,76736,40,12,2711,60.019,0,1,0,0,1200,134,0,0
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s1.txt,20,20,30,3,2,2,1,4,657338569fb86ecf079184480f017fd5,TIMEOUT,21814,40,4,41522,60.001,0,1,0,0,20730,0,0,0
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s2.txt,20,20,30,3,2,2,2,4,ef8bd6a87c66597f8f7c97702b5692bd,TIMEOUT,inf,40,4,42298,60.001,0,1,0,0,0,21132,0,0
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s3.txt,20,20,30,3,2,2,3,4,0df6daa18eb7451c5b143753de9477f3,TIMEOUT,inf,40,4,44109,60.001,0,1,0,0,0,22038,0,0
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s1.txt,20,20,30,3,4,4,1,8,7b6d66b8b510aa19592fb6d9bf3f4502,TIMEOUT,23973,40,8,35221,60.001,0,1,0,0,16367,1221,0,0
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s2.txt,20,20,30,3,4,4,2,8,99d9fcfabf27059cccbbef8b4deb14b9,TIMEOUT,22224,40,8,38048,60.001,0,1,0,0,18493,510,0,0
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s3.txt,20,20,30,3,4,4,3,8,8dda65555b4759f40ed4bd3b4f6f86a9,TIMEOUT,inf,40,8,37436,60.000,0,1,0,0,0,18700,0,0
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s1.txt,20,20,30,3,6,6,1,12,21a4fa6f15dfea98ad6e47bc2592ec00,TIMEOUT,21920,40,12,38580,60.001,0,1,83,0,18625,543,0,0
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s2.txt,20,20,30,3,6,6,2,12,4c1279c55bc2529c4998c7430f3c476d,TIMEOUT,23114,40,12,35723,60.002,0,1,3,0,13318,4517,0,0
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s3.txt,20,20,30,3,6,6,3,12,02f8d565052f915900ff80be792dd39f,TIMEOUT,22233,40,12,34060,60.001,0,1,0,0,12057,4947,0,0
kstar_nI20_nJ20_nK30_nL3_tI8_tJ8_s1.txt,20,20,30,3,8,8,1,16,0528c91463ce9431c2664b57cb885d79,TIMEOUT,inf,40,16,35109,60.000,0,1,136,0,0,17401,0,0
kstar_nI20_nJ20_nK30_nL3_tI8_tJ8_s2.txt,20,20,30,3,8,8,2,16,a651698689bffaf078ad0fdaee03a2ac,TIMEOUT,20952,40,16,30641,60.001,0,1,108,0,15182,0,0,0
kstar_nI20_nJ20_nK30_nL3_tI8_tJ8_s3.txt,20,20,30,3,8,8,3,16,2698948972b609efb59d0f70d6305213,TIMEOUT,22944,40,16,26426,60.001,0,1,11,0,13184,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI2_tJ2_s1.txt,20,20,50,10,2,2,1,4,5ef676dd605577ec806bbacbf3c72117,TIMEOUT,69135,40,4,4794,60.010,0,1,0,0,2385,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI2_tJ2_s2.txt,20,20,50,10,2,2,2,4,23fd9013d333ee540707abf49f36b75d,TIMEOUT,69194,40,4,4692,60.008,0,1,0,0,2330,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI2_tJ2_s3.txt,20,20,50,10,2,2,3,4,2e50c437f0feca2fce1d1d39ae32cee6,TIMEOUT,72904,40,4,4682,60.007,0,1,0,0,2325,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI2_tJ2_s4.txt,20,20,50,10,2,2,4,4,f03aa187230d3d3a627fced4b76ebc29,TIMEOUT,70043,40,4,4652,60.004,0,1,0,0,2309,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI2_tJ2_s5.txt,20,20,50,10,2,2,5,4,7a0cf556a140ba68f6ca433fef5855ab,TIMEOUT,65483,40,4,4839,60.007,0,1,0,0,2406,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s1.txt,20,20,50,10,3,3,1,6,0d3b8f8a93215dccab9664b162093b4f,TIMEOUT,71694,40,6,4624,60.005,0,1,0,0,2300,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s2.txt,20,20,50,10,3,3,2,6,3fa9559b260e1b6aa3426cabd92ec447,TIMEOUT,65976,40,6,4821,60.001,0,1,0,0,2399,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s3.txt,20,20,50,10,3,3,3,6,9c844034f39925341f53328652eb72c3,TIMEOUT,71622,40,6,4585,60.002,0,1,0,0,2279,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s4.txt,20,20,50,10,3,3,4,6,4d20da07a342384568ad8215eb57db36,TIMEOUT,70433,40,6,4640,60.000,0,1,0,0,2306,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s5.txt,20,20,50,10,3,3,5,6,29631f3017ec5778d6114195f4e7be85,TIMEOUT,69332,40,6,4809,60.009,0,1,0,0,2389,0,0,0
kstar_nI20_nJ20_nK50_nL10_tI4_tJ4_s1.txt,20,20,50,10,4,4,1,8,92acf1c40de4672e9db4651807ebca5e,TIMEOUT,72176,40,8,4704,60.008,0,1,0,0,2338,0,0,0
