datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260717-144915,kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s3,exact,1,0,0,600,FEASIBLE,132087.00,34689.32,0.73737521,600.00,600.00,-1.00,-1.00,-1.00,29426,-1.00,132087.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s3_m1_exact_s0_20260717-144915.gurobi.log
20260717-145918,kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s4,exact,1,0,0,600,FEASIBLE,143297.00,34885.72,0.75654954,600.00,600.00,-1.00,-1.00,-1.00,31680,-1.00,143297.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s4_m1_exact_s0_20260717-145918.gurobi.log
20260717-150922,kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s5,exact,1,0,0,600,FEASIBLE,175783.00,35063.08,0.80053199,600.00,600.00,-1.00,-1.00,-1.00,30860,-1.00,175783.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s5_m1_exact_s0_20260717-150922.gurobi.log
20260717-151926,kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s1,exact,1,0,0,600,FEASIBLE,110397.00,33436.81,0.69712212,600.00,600.00,-1.00,-1.00,-1.00,27537,-1.00,110397.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s1_m1_exact_s0_20260717-151926.gurobi.log
20260717-152930,kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s2,exact,1,0,0,600,FEASIBLE,125507.00,35915.20,0.71383909,600.00,600.00,-1.00,-1.00,-1.00,26887,-1.00,125507.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s2_m1_exact_s0_20260717-152930.gurobi.log
20260717-153934,kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s3,exact,1,0,0,600,FEASIBLE,122195.00,34829.62,0.71496691,600.00,600.00,-1.00,-1.00,-1.00,27406,-1.00,122195.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s3_m1_exact_s0_20260717-153934.gurobi.log
20260717-154938,kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s4,exact,1,0,0,600,FEASIBLE,130455.00,35489.03,0.72795964,600.00,600.00,-1.00,-1.00,-1.00,28520,-1.00,130455.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s4_m1_exact_s0_20260717-154938.gurobi.log
20260717-155942,kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s5,exact,1,0,0,600,FEASIBLE,121816.00,33967.53,0.72115711,600.00,600.00,-1.00,-1.00,-1.00,27512,-1.00,121816.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI3_tJ3_s5_m1_exact_s0_20260717-155942.gurobi.log
20260717-160945,kstar_nI40_nJ40_nK100_nL5_tI4_tJ4_s1,exact,1,0,0,600,FEASIBLE,105197.00,36826.24,0.64993066,600.00,600.00,-1.00,-1.00,-1.00,25191,-1.00,105197.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI4_tJ4_s1_m1_exact_s0_20260717-160945.gurobi.log
20260717-161949,kstar_nI40_nJ40_nK100_nL5_tI4_tJ4_s2,exact,1,0,0,600,FEASIBLE,106873.00,34291.78,0.67913523,600.00,600.00,-1.00,-1.00,-1.00,26033,-1.00,106873.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI4_tJ4_s2_m1_exact_s0_20260717-161949.gurobi.log
