instance,nI,nJ,nK,nL,tI,tJ,seed,status,obj,k_used,kstar,nodes,time,timeout,p1,p2i,p2b,p3
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s9,12,12,30,3,6,6,9,OPTIMAL,22966,24,12,12117,17.158,0,223,0,5803,21
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s8,12,12,30,3,6,6,8,OPTIMAL,25498,24,12,21181,32.335,0,756,0,9806,10
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s1,12,12,30,3,8,8,1,OPTIMAL,22373,24,16,21611,29.815,0,2359,0,8297,139
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s10,12,12,30,3,8,8,10,OPTIMAL,26654,24,16,11329,17.088,0,885,0,4779,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s2,12,12,30,3,8,8,2,OPTIMAL,21781,24,16,8021,12.384,0,383,0,3622,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s3,12,12,30,3,8,8,3,OPTIMAL,22459,24,16,12125,17.457,0,1238,0,4820,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s4,12,12,30,3,8,8,4,OPTIMAL,26351,24,16,9763,12.294,0,2205,0,2672,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s5,12,12,30,3,8,8,5,OPTIMAL,23133,24,16,10499,14.752,0,841,0,4402,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s6,12,12,30,3,8,8,6,OPTIMAL,26289,24,16,14107,23.569,0,591,0,6459,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s7,12,12,30,3,8,8,7,OPTIMAL,24265,24,16,12491,20.070,0,609,0,5632,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s9,12,12,30,3,8,8,9,OPTIMAL,28366,24,16,6831,10.131,0,1063,0,2347,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s8,12,12,30,3,8,8,8,OPTIMAL,24240,24,16,23341,34.870,0,835,0,10637,183
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s10,14,14,30,3,2,2,10,OPTIMAL,21454,28,4,324419,469.222,0,1,0,162186,0
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s1,14,14,30,3,2,2,1,TIMEOUT,20284,28,4,460971,600.000,1,0,0,230309,153
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s2,14,14,30,3,2,2,2,TIMEOUT,22133,28,4,483895,600.001,1,244,0,176753,64928
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s3,14,14,30,3,2,2,3,TIMEOUT,22494,28,4,455562,600.001,1,0,0,227721,0
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s4,14,14,30,3,2,2,4,TIMEOUT,20249,28,4,426366,600.000,1,0,0,209576,3584
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s5,14,14,30,3,2,2,5,TIMEOUT,23103,28,4,447637,600.001,1,0,0,223685,102
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s6,14,14,30,3,2,2,6,TIMEOUT,20913,28,4,480075,600.001,1,384,0,102961,136661
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s7,14,14,30,3,2,2,7,TIMEOUT,21807,28,4,490978,600.000,1,128,0,179805,65527
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s8,14,14,30,3,2,2,8,TIMEOUT,20294,28,4,450224,600.001,1,0,0,223684,1389
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s9,14,14,30,3,2,2,9,TIMEOUT,23827,28,4,494179,600.001,1,43,0,161502,85524
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s1,14,14,30,3,4,4,1,OPTIMAL,17695,28,8,273071,418.272,0,728,0,135790,0
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s10,14,14,30,3,4,4,10,TIMEOUT,23456,28,8,389245,600.000,1,134,0,194419,42
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s2,14,14,30,3,4,4,2,TIMEOUT,21447,28,8,342797,600.001,1,0,0,171371,0
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s3,14,14,30,3,4,4,3,TIMEOUT,20294,28,8,331298,600.000,1,0,0,160026,5601
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s4,14,14,30,3,4,4,4,TIMEOUT,18677,28,8,362224,600.000,1,58,0,181029,0
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s5,14,14,30,3,4,4,5,TIMEOUT,23551,28,8,347543,600.002,1,137,0,173610,0
