datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260715-204816,kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s1,exact,0,0,0,600,OPTIMAL,56114.00,56114.00,0.00000000,0.52,0.57,-1.00,-1.00,-1.00,0,-1.00,56114.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s1_m0_exact_s0_20260715-204816.gurobi.log
20260715-204817,kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s2,exact,0,0,0,600,OPTIMAL,59060.00,59060.00,0.00000000,0.49,0.54,-1.00,-1.00,-1.00,0,-1.00,59060.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s2_m0_exact_s0_20260715-204817.gurobi.log
20260715-204817,kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s3,exact,0,0,0,600,OPTIMAL,57695.00,57695.00,0.00000000,1.07,1.13,-1.00,-1.00,-1.00,0,-1.00,57695.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s3_m0_exact_s0_20260715-204817.gurobi.log
20260715-204819,kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s4,exact,0,0,0,600,OPTIMAL,56498.00,56498.00,0.00000000,0.63,0.69,-1.00,-1.00,-1.00,0,-1.00,56498.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s4_m0_exact_s0_20260715-204819.gurobi.log
20260715-204819,kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s5,exact,0,0,0,600,OPTIMAL,56998.00,56998.00,0.00000000,0.45,0.51,-1.00,-1.00,-1.00,0,-1.00,56998.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI3_tJ3_s5_m0_exact_s0_20260715-204819.gurobi.log
20260715-204820,kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s1,exact,0,0,0,600,OPTIMAL,56163.00,56162.62,0.00000685,0.68,0.73,-1.00,-1.00,-1.00,0,-1.00,56163.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s1_m0_exact_s0_20260715-204820.gurobi.log
20260715-204821,kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s2,exact,0,0,0,600,OPTIMAL,58522.00,58522.00,0.00000000,0.50,0.55,-1.00,-1.00,-1.00,0,-1.00,58522.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s2_m0_exact_s0_20260715-204821.gurobi.log
20260715-204821,kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s3,exact,0,0,0,600,OPTIMAL,58012.00,58012.00,0.00000000,0.49,0.54,-1.00,-1.00,-1.00,0,-1.00,58012.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s3_m0_exact_s0_20260715-204821.gurobi.log
20260715-204822,kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s4,exact,0,0,0,600,OPTIMAL,56345.00,56345.00,0.00000000,0.66,0.71,-1.00,-1.00,-1.00,0,-1.00,56345.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s4_m0_exact_s0_20260715-204822.gurobi.log
20260715-204823,kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s5,exact,0,0,0,600,OPTIMAL,55740.00,55740.00,0.00000000,0.51,0.56,-1.00,-1.00,-1.00,0,-1.00,55740.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI4_tJ4_s5_m0_exact_s0_20260715-204823.gurobi.log
