datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260713-164227,PSC3-C3-50-10,exact,0,0,0,3600,FEASIBLE,25559493.00,25447219.65,0.00439263,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,25559493.00,1,13.0.2,logs/PSC3-C3-50-10_m0_exact_s0_20260713-164227.gurobi.log
20260713-174229,PSC3-C3-50-5,exact,0,0,0,3600,FEASIBLE,12987035.00,12928098.88,0.00453807,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,12987035.00,1,13.0.2,logs/PSC3-C3-50-5_m0_exact_s0_20260713-174229.gurobi.log
20260713-184229,PSC3-C4-100-10,exact,0,0,0,3600,FEASIBLE,8579478.02,6609214.43,0.22964842,3599.21,3600.00,-1.00,-1.00,-1.00,0,-1.00,8566880.00,1,13.0.2,logs/PSC3-C4-100-10_m0_exact_s0_20260713-184229.gurobi.log
20260713-194232,PSC3-C4-100-5,exact,0,0,0,3600,FEASIBLE,3681755.00,3593128.59,0.02407178,3599.83,3598.37,-1.00,-1.00,-1.00,0,-1.00,3681755.00,1,13.0.2,logs/PSC3-C4-100-5_m0_exact_s0_20260713-194232.gurobi.log
20260713-204233,PSC3-C4-50-10,exact,0,0,0,3600,FEASIBLE,4103165.00,3384722.97,0.17509460,3599.99,3600.00,-1.00,-1.00,-1.00,0,-1.00,4095942.00,1,13.0.2,logs/PSC3-C4-50-10_m0_exact_s0_20260713-204233.gurobi.log
20260713-214233,PSC3-C4-50-5,exact,0,0,0,3600,FEASIBLE,1880031.00,1847952.93,0.01706252,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1880031.00,1,13.0.2,logs/PSC3-C4-50-5_m0_exact_s0_20260713-214233.gurobi.log
20260713-224234,PSC3-C5-100-10,exact,0,0,0,3600,FEASIBLE,52376633.00,50827760.28,0.02957183,3599.21,3600.00,-1.00,-1.00,-1.00,0,-1.00,52363593.00,1,13.0.2,logs/PSC3-C5-100-10_m0_exact_s0_20260713-224234.gurobi.log
20260713-234237,PSC3-C5-100-5,exact,0,0,0,3600,FEASIBLE,26054145.00,25743957.93,0.01190548,3599.83,3600.00,-1.00,-1.00,-1.00,0,-1.00,26042536.00,1,13.0.2,logs/PSC3-C5-100-5_m0_exact_s0_20260713-234237.gurobi.log
20260714-004238,PSC3-C5-50-10,exact,0,0,0,3600,FEASIBLE,25740016.00,25631058.27,0.00423301,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,25740016.00,1,13.0.2,logs/PSC3-C5-50-10_m0_exact_s0_20260714-004238.gurobi.log
20260714-014239,PSC3-C5-50-5,exact,0,0,0,3600,FEASIBLE,13127989.00,13082030.70,0.00350079,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,13127548.00,1,13.0.2,logs/PSC3-C5-50-5_m0_exact_s0_20260714-014239.gurobi.log
